user_id,timestamp,ap
U0000,2869,AP000
U0000,3363,AP004
U0000,3778,OFF
U0000,4619,AP004
U0000,5477,AP005
U0000,5865,AP002
U0000,6491,AP005
U0000,6692,AP004
U0000,7153,AP011
U0000,7687,AP004
U0000,7942,AP004
U0000,8423,AP005
U0000,8992,AP003
U0000,9731,AP006
U0000,10451,AP002
U0000,10552,AP001
U0000,10990,AP005
U0000,11625,AP003
U0000,12445,AP003
U0000,12561,AP002
U0000,12931,AP002
U0000,13754,AP008
U0000,14565,AP000
U0000,14658,AP005
U0000,15411,OFF
U0000,16060,OFF
U0000,16305,AP005
U0000,16411,AP001
U0000,16751,AP000
U0000,17520,AP002
U0000,17713,AP007
U0000,18550,AP000
U0000,19342,OFF
U0000,20157,AP003
U0000,20401,AP004
U0000,20505,AP005
U0000,21183,AP001
U0000,21963,AP001
U0000,22308,AP002
U0000,23190,AP016
U0000,23555,AP004
U0000,23899,AP006
U0000,24075,AP000
U0000,24958,AP001
U0000,25648,AP000
U0000,26273,AP010
U0000,26822,AP005
U0000,27362,AP003
U0000,27989,AP004
U0000,28803,AP006
U0000,28950,AP002
U0000,29481,AP005
U0000,30353,AP001
U0000,31055,AP002
U0000,31660,AP000
U0000,32153,OFF
U0000,32538,OFF
U0000,32815,AP005
U0000,33354,AP000
U0000,33707,AP000
U0000,34082,AP001
U0000,34427,AP000
U0000,35256,AP000
U0000,35415,AP004
U0000,36285,AP012
U0000,36942,OFF
U0000,37626,AP004
U0000,38111,AP000
U0000,38854,AP003
U0000,39526,AP010
U0000,40153,AP002
U0000,40444,AP000
U0000,40850,AP003
U0000,41171,AP004
U0000,41749,AP004
U0000,42343,AP005
U0000,43028,AP000
U0000,43765,AP004
U0000,44303,AP004
U0000,44812,AP001
U0001,1976,AP006
U0001,2672,AP006
U0001,3412,AP010
U0001,4027,AP012
U0001,4359,AP011
U0001,4724,AP002
U0001,4972,AP000
U0001,5621,AP014
U0001,5804,AP010
U0001,6665,OFF
U0001,7213,AP011
U0001,7962,AP016
U0001,8455,AP003
U0001,8632,AP013
U0001,9435,AP006
U0001,9531,AP008
U0001,9830,AP011
U0001,10538,AP009
U0001,10854,AP009
U0001,11038,AP006
U0001,11361,AP011
U0001,12179,OFF
U0001,12278,AP006
U0001,13157,OFF
U0001,13830,AP011
U0001,14672,AP006
U0001,14806,AP005
U0001,15334,AP007
U0001,15630,AP004
U0001,16226,AP002
U0001,17102,OFF
U0001,17924,AP006
U0001,18675,OFF
U0001,19176,OFF
U0001,19465,AP007
U0001,20179,AP010
U0001,20970,OFF
U0001,21083,AP011
U0001,21881,AP005
U0001,22266,AP005
U0001,22596,AP004
U0001,22981,AP007
U0001,23536,AP006
U0001,24163,AP016
U0001,24618,AP008
U0001,24881,AP015
U0001,25754,AP006
U0001,26389,AP007
U0001,26627,AP006
U0001,27300,AP007
